model,series,x,bf
Meta-Llama-3-8B,self_conditioned_baseline,120,7.642465219872151
Meta-Llama-3-8B,self_conditioned_baseline,121,7.614237936552728
Meta-Llama-3-8B,self_conditioned_baseline,122,7.5884994781097275
Meta-Llama-3-8B,self_conditioned_baseline,123,7.562456729610329
Meta-Llama-3-8B,self_conditioned_baseline,124,7.535539880382009
Meta-Llama-3-8B,self_conditioned_baseline,125,7.507923744563065
Meta-Llama-3-8B,self_conditioned_baseline,126,7.482899587938877
Meta-Llama-3-8B,self_conditioned_baseline,127,7.457410712077708
Meta-Llama-3-8B,self_conditioned_baseline,128,7.431160428716396
Meta-Llama-3-8B,self_conditioned_baseline,129,7.405513526801659
Meta-Llama-3-8B,self_conditioned_baseline,130,7.379361368455527
Meta-Llama-3-8B,self_conditioned_baseline,131,7.352383567925708
Meta-Llama-3-8B,self_conditioned_baseline,132,7.327698608152233
Meta-Llama-3-8B,self_conditioned_baseline,133,7.302066962995599
Meta-Llama-3-8B,self_conditioned_baseline,134,7.278523367725194
Meta-Llama-3-8B,self_conditioned_baseline,135,7.2534463554672906
Meta-Llama-3-8B,self_conditioned_baseline,136,7.228610805835571
Meta-Llama-3-8B,self_conditioned_baseline,137,7.205881290368711
Meta-Llama-3-8B,self_conditioned_baseline,138,7.182340120517989
Meta-Llama-3-8B,self_conditioned_baseline,139,7.158610879262372
Meta-Llama-3-8B,self_conditioned_baseline,140,7.133656585361142
Meta-Llama-3-8B,self_conditioned_baseline,141,7.109988825797006
Meta-Llama-3-8B,self_conditioned_baseline,142,7.085477080747097
Meta-Llama-3-8B,self_conditioned_baseline,143,7.062704373344444
Meta-Llama-3-8B,self_conditioned_baseline,144,7.0392714780483825
Meta-Llama-3-8B,self_conditioned_baseline,145,7.016049222118283
Meta-Llama-3-8B,self_conditioned_baseline,146,6.992894388106536
Meta-Llama-3-8B,self_conditioned_baseline,147,6.969847339487834
Meta-Llama-3-8B,self_conditioned_baseline,148,6.946847395023959
Meta-Llama-3-8B,self_conditioned_baseline,149,6.923895459333781
Meta-Llama-3-8B,self_conditioned_baseline,150,6.900770342853673
Meta-Llama-3-8B,self_conditioned_baseline,151,6.87926702205792
Meta-Llama-3-8B,self_conditioned_baseline,152,6.857445915365944
Meta-Llama-3-8B,self_conditioned_baseline,153,6.836499122214872
Meta-Llama-3-8B,self_conditioned_baseline,154,6.814500105848034
Meta-Llama-3-8B,self_conditioned_baseline,155,6.793025956434963
Meta-Llama-3-8B,self_conditioned_baseline,156,6.771477761596569
